corridor,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate
E 79 ST TRANSVERSE,195,79,73,15,28,116,0.00010322789714320061,0.5948717948717949,0.37435897435897436,0.07692307692307693,0.14358974358974358
PLEASANT AV,119,74,20,9,16,45,9.669448593160564e-05,0.37815126050420167,0.16806722689075632,0.07563025210084033,0.13445378151260504
11 AV,480,73,268,41,98,407,9.538780368928664e-05,0.8479166666666667,0.5583333333333333,0.08541666666666667,0.20416666666666666
79 ST TRANSVERSE,127,66,50,7,4,61,8.624102799305368e-05,0.48031496062992124,0.3937007874015748,0.05511811023622047,0.031496062992125984
W 86 ST TRANSVERSE RD,135,63,54,9,9,72,8.23209812660967e-05,0.5333333333333333,0.4,0.06666666666666667,0.06666666666666667
ASTORIA BLVD,112,60,29,17,6,52,7.840093453913971e-05,0.4642857142857143,0.25892857142857145,0.15178571428571427,0.05357142857142857
RIVERDALE AV,102,57,28,9,8,45,7.448088781218272e-05,0.4411764705882353,0.27450980392156865,0.08823529411764706,0.0784313725490196
E 80 ST,132,51,60,14,7,81,6.664079435826875e-05,0.6136363636363636,0.45454545454545453,0.10606060606060606,0.05303030303030303
WATERSIDE PLAZA,145,49,68,10,18,96,6.402742987363077e-05,0.6620689655172414,0.4689655172413793,0.06896551724137931,0.12413793103448276
W 145 ST,77,41,24,5,7,36,5.3573971935078796e-05,0.4675324675324675,0.3116883116883117,0.06493506493506493,0.09090909090909091
E 55 ST,111,36,54,6,15,75,4.704056072348382e-05,0.6756756756756757,0.4864864864864865,0.05405405405405406,0.13513513513513514
DITMARS BLVD,45,31,10,3,1,14,4.050714951188885e-05,0.3111111111111111,0.2222222222222222,0.06666666666666667,0.022222222222222223
W 178 ST,43,30,3,5,5,13,3.9200467269569857e-05,0.3023255813953488,0.06976744186046512,0.11627906976744186,0.11627906976744186
WATERSIDE,103,30,53,11,9,73,3.9200467269569857e-05,0.7087378640776699,0.5145631067961165,0.10679611650485436,0.08737864077669903
WEST KINGSBRIDGE RD,47,27,9,6,5,20,3.528042054261287e-05,0.425531914893617,0.19148936170212766,0.1276595744680851,0.10638297872340426
HENRY HUDSON PKWY EAST,44,27,5,9,3,17,3.528042054261287e-05,0.38636363636363635,0.11363636363636363,0.20454545454545456,0.06818181818181818
AV D,63,26,24,5,8,37,3.3973738300293875e-05,0.5873015873015873,0.38095238095238093,0.07936507936507936,0.12698412698412698
E 60 ST,43,22,11,7,3,21,2.8747009331017893e-05,0.4883720930232558,0.2558139534883721,0.16279069767441862,0.06976744186046512
FERRY TERMINAL,49,22,19,3,5,27,2.8747009331017893e-05,0.5510204081632653,0.3877551020408163,0.061224489795918366,0.10204081632653061
W 18 ST,56,21,20,10,5,35,2.7440327088698898e-05,0.625,0.35714285714285715,0.17857142857142858,0.08928571428571429
23 AV,30,20,4,5,1,10,2.6133644846379902e-05,0.3333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333
ASTORIA BLVD SOUTH,33,19,8,2,4,14,2.4826962604060907e-05,0.42424242424242425,0.24242424242424243,0.06060606060606061,0.12121212121212122
9 AV,49,17,25,7,0,32,2.2213598119422916e-05,0.6530612244897959,0.5102040816326531,0.14285714285714285,0.0
LAGUARDIA,34,17,8,8,1,17,2.2213598119422916e-05,0.5,0.23529411764705882,0.23529411764705882,0.029411764705882353
W 231 ST,31,17,12,2,0,14,2.2213598119422916e-05,0.45161290322580644,0.3870967741935484,0.06451612903225806,0.0
W 179 ST,25,15,6,2,2,10,1.9600233634784928e-05,0.4,0.24,0.08,0.08
FDR DR,43,15,14,7,7,28,1.9600233634784928e-05,0.6511627906976745,0.32558139534883723,0.16279069767441862,0.16279069767441862
FORT INDEPENDENCE ST,26,14,8,3,1,12,1.8293551392465933e-05,0.46153846153846156,0.3076923076923077,0.11538461538461539,0.038461538461538464
LGA INTERNAL RDWY,17,13,2,2,0,4,1.6986869150146937e-05,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.0
E 10 ST,32,13,9,8,2,19,1.6986869150146937e-05,0.59375,0.28125,0.25,0.0625
JAY ST,22,11,8,2,1,11,1.4373504665508947e-05,0.5,0.36363636363636365,0.09090909090909091,0.045454545454545456
LGA,27,11,12,1,3,16,1.4373504665508947e-05,0.5925925925925926,0.4444444444444444,0.037037037037037035,0.1111111111111111
E 163 ST,14,11,3,0,0,3,1.4373504665508947e-05,0.21428571428571427,0.21428571428571427,0.0,0.0
W 155 ST,46,11,16,16,3,35,1.4373504665508947e-05,0.7608695652173914,0.34782608695652173,0.34782608695652173,0.06521739130434782
SOUTHERN BLVD,18,10,5,1,2,8,1.3066822423189951e-05,0.4444444444444444,0.2777777777777778,0.05555555555555555,0.1111111111111111
W 238 ST,23,9,3,7,4,14,1.1760140180870956e-05,0.6086956521739131,0.13043478260869565,0.30434782608695654,0.17391304347826086
DELANCEY ST,29,9,18,2,0,20,1.1760140180870956e-05,0.6896551724137931,0.6206896551724138,0.06896551724137931,0.0
MARGARET CORBIN DR,22,9,9,2,2,13,1.1760140180870956e-05,0.5909090909090909,0.4090909090909091,0.09090909090909091,0.09090909090909091
HOYT AV SOUTH,37,9,18,4,6,28,1.1760140180870956e-05,0.7567567567567568,0.4864864864864865,0.10810810810810811,0.16216216216216217
MARGINAL ST,22,7,6,6,3,15,9.146775696232966e-06,0.6818181818181818,0.2727272727272727,0.2727272727272727,0.13636363636363635
JACKSON AV,9,7,2,0,0,2,9.146775696232966e-06,0.2222222222222222,0.2222222222222222,0.0,0.0
TRIBORO BR,16,7,5,3,1,9,9.146775696232966e-06,0.5625,0.3125,0.1875,0.0625
EAST TREMONT AV,9,6,2,1,0,3,7.840093453913971e-06,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0
