stop_canonical,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate,longitude,latitude
AMSTERDAM AV / W 156 ST,5751,2721,1757,477,796,3030,0.003555482381349986,0.5268648930620762,0.30551208485480785,0.08294209702660407,0.13841071118066423,-73.943952,40.83014
3 AV / E 97 ST,4412,2691,1138,354,229,1721,0.003516281914080416,0.3900725294650952,0.25793291024478693,0.08023572076155938,0.05190389845874887,-73.948706,40.786032
BROADWAY / SHERMAN AV,5477,2661,1631,731,454,2816,0.003477081446810846,0.5141500821617674,0.29779076136571114,0.1334672265838963,0.08289209421215994,-73.928865,40.864514
E 96 ST / LEXINGTON AV,5584,2621,1647,723,593,2963,0.0034248141571180863,0.5306232091690545,0.29494985673352436,0.12947707736389685,0.10619627507163323,-73.9528815,40.7832405
BROADWAY / DYCKMAN ST,3886,2617,361,517,391,1269,0.00341958742814881,0.3265568708183222,0.09289758106021616,0.1330416881111683,0.10061760164693773,-73.926612,40.864476
1 AV / E 97 ST,6760,2592,2962,385,821,4168,0.0033869203720908354,0.6165680473372781,0.4381656804733728,0.05695266272189349,0.12144970414201184,-73.942565,40.786193
AMSTERDAM AV / W 184 ST,3536,2577,305,403,251,959,0.0033673201384560505,0.271210407239819,0.08625565610859728,0.11397058823529412,0.0709841628959276,-73.930597,40.848606
AMSTERDAM AV / W 120 ST,6155,2536,2670,455,494,3619,0.0033137461665209717,0.5879772542648254,0.4337936636880585,0.07392363931762795,0.08025995125913891,-73.957647,40.811471
10 AV / SHERMAN AV,4161,2481,446,865,369,1680,0.003241878643193427,0.40374909877433307,0.10718577265080509,0.20788272049987983,0.08868060562364816,-73.916765,40.867385
E 87 ST / YORK AV,6135,2479,2917,299,440,3656,0.003239265278708789,0.5959250203748981,0.4754686226568867,0.04873675631621842,0.07171964140179299,-73.948006,40.776433
ALLEN ST / GRAND ST,4052,2471,731,584,266,1581,0.0032288118207702368,0.390177690029615,0.18040473840078974,0.1441263573543929,0.06564659427443238,-73.990038,40.719605
BROADWAY / W 192 ST,4060,2447,368,906,339,1613,0.003197451446954581,0.3972906403940887,0.09064039408866995,0.2231527093596059,0.08349753694581281,-73.932395,40.857224
E 125 ST / MADISON AV,5353,2439,2162,471,281,2914,0.0031869979890160292,0.544367644311601,0.4038856715860265,0.08798804408742761,0.052493928638146836,-73.94027,40.804981
3 AV / E 60 ST,5524,2428,2495,325,276,3096,0.00317262448435052,0.560463432295438,0.4516654598117306,0.05883417813178856,0.0499637943519189,-73.963146,40.766270500000005
AMSTERDAM AV / W 129 ST,5338,2424,2148,437,329,2914,0.0031673977553812443,0.5458973398276508,0.4023979018358936,0.0818658673660547,0.06163357062570251,-73.95481699999999,40.815098
AMSTERDAM AV / W 181 ST,5309,2419,853,476,1561,2890,0.003160864344169649,0.5443586362780185,0.16067055942738745,0.0896590695046148,0.2940290073460162,-73.929973,40.849331
3 AV / E 24 ST,5150,2279,1798,691,382,2871,0.00297792883024499,0.5574757281553399,0.349126213592233,0.1341747572815534,0.0741747572815534,-73.9812305,40.741088
E 79 ST / MADISON AV,4873,2265,1707,412,489,2608,0.002959635278852524,0.5351939257131131,0.35029755797250156,0.08454750666940283,0.1003488610712087,-73.961524,40.776375
BROADWAY / W 193 ST,4255,2245,1363,370,277,2010,0.002933501634006144,0.47238542890716806,0.32032902467685076,0.08695652173913043,0.06509988249118684,-73.931178,40.859738
